South_Ferry Rector_Street
Fresh_Pond_Road Middle_Village–Metropolitan_Avenue
Middle_Village–Metropolitan_Avenue 23rd_Street
Coney_Island–Stillwell_Avenue 86th_Street
86th_Street Avenue_U
Avenue_U Kings_Highway
Kings_Highway Bay_Parkway
Bay_Parkway 20th_Avenue
20th_Avenue New_Utrecht_Avenue
New_Utrecht_Avenue Fort_Hamilton_Parkway
Fort_Hamilton_Parkway 8th_Avenue
8th_Avenue 59th_Street
59th_Street 36th_Street
36th_Street Atlantic_Avenue–Barclays_Center
Atlantic_Avenue–Barclays_Center Canal_Street
Canal_Street 14th_Street–Union_Square
14th_Street–Union_Square 34th_Street–Herald_Square
34th_Street–Herald_Square 42nd_Street–Times_Square
42nd_Street–Times_Square 49th_Street
49th_Street 57th_Street–7th_Avenue
57th_Street–7th_Avenue 5th_Avenue–59th_Street
5th_Avenue–59th_Street 59th_Street–Lexington_Avenue
59th_Street–Lexington_Avenue Astoria–Ditmars_Boulevard
Astoria–Ditmars_Boulevard Astoria_Boulevard
Astoria_Boulevard 30th_Avenue
30th_Avenue Broadway
Broadway 36th_Avenue
36th_Avenue 39th_Avenue
39th_Avenue Queensboro_Plaza
Queensboro_Plaza 18th_Avenue
Coney_Island–Stillwell_Avenue West_8th_Street–New_York_Aquarium
West_8th_Street–New_York_Aquarium Ocean_Parkway
Ocean_Parkway Brighton_Beach
Brighton_Beach Sheepshead_Bay
Sheepshead_Bay Neck_Road
Neck_Road Avenue_U
Avenue_U Kings_Highway
Kings_Highway Avenue_M
Avenue_M Avenue_J
Avenue_J Avenue_H
Avenue_H Newkirk_Plaza
Newkirk_Plaza Cortelyou_Road
Cortelyou_Road Beverley_Road
Beverley_Road Church_Avenue
Church_Avenue Parkside_Avenue
Parkside_Avenue Prospect_Park
Prospect_Park 7th_Avenue
7th_Avenue Atlantic_Avenue–Barclays_Center
Atlantic_Avenue–Barclays_Center DeKalb_Avenue
DeKalb_Avenue Canal_Street
Canal_Street 14th_Street–Union_Square
14th_Street–Union_Square 34th_Street–Herald_Square
34th_Street–Herald_Square 42nd_Street–Times_Square
42nd_Street–Times_Square 57th_Street–7th_Avenue
57th_Street–7th_Avenue Lexington_Avenue–63rd_Street
Lexington_Avenue–63rd_Street 72nd_Street
72nd_Street 86th_Street
86th_Street 96th_Street
Bay_Ridge–95th_Street 86th_Street
86th_Street 77th_Street
77th_Street Bay_Ridge_Avenue
Bay_Ridge_Avenue 59th_Street
59th_Street 53rd_Street
53rd_Street 45th_Street
